soil_type,N,P,K,ph,organic_carbon,ec,health_score,health_class
Desert,65.9,23.4,10.0,5.71,2.1,1.07,78.9,Healthy
Desert,35.0,106.9,73.7,8.54,1.91,0.84,69.4,Moderate
Desert,84.4,11.2,194.5,4.92,2.19,3.97,57.9,Moderate
Mountain,80.8,113.7,82.0,5.95,2.81,2.15,75.5,Healthy
Desert,4.0,68.6,27.8,7.11,1.05,0.64,75.9,Healthy
Desert,49.2,114.3,112.9,7.31,1.16,1.41,83.6,Healthy
Black,87.9,34.6,53.0,8.54,0.34,2.16,69.7,Moderate
Laterite,102.8,25.6,36.1,6.19,2.45,0.06,90.8,Healthy
Black,75.3,4.3,43.7,7.93,0.53,2.49,71.3,Moderate
Alluvial,66.7,117.8,25.8,6.91,1.2,3.43,68.6,Moderate
Mountain,17.2,42.6,158.0,7.86,1.54,0.35,71.4,Moderate
Alluvial,147.6,90.4,85.3,7.25,2.29,2.75,60.4,Moderate
Black,62.3,87.6,27.6,4.06,0.43,3.91,52.8,Moderate
Mountain,142.4,6.1,41.1,5.97,0.89,3.81,55.0,Moderate
Alluvial,101.2,128.5,186.4,5.82,2.3,3.89,60.4,Moderate
Black,6.4,22.8,116.7,6.5,2.17,2.1,76.5,Healthy
Black,106.6,115.4,120.2,6.32,1.87,2.81,80.6,Healthy
Alluvial,60.4,69.1,71.5,8.47,2.16,3.96,72.2,Moderate
Laterite,52.9,130.5,159.4,3.82,2.84,0.83,50.7,Moderate
Desert,95.1,141.4,166.7,5.43,2.53,1.61,54.8,Moderate
Mountain,31.6,88.9,205.9,6.4,2.62,3.95,49.3,Poor
Alluvial,39.9,134.3,40.9,6.85,1.96,2.41,68.1,Moderate
Mountain,30.7,122.1,58.4,6.44,0.96,0.26,74.8,Moderate
Mountain,117.0,11.4,184.0,4.07,2.09,3.55,51.8,Moderate
Alluvial,21.4,19.7,158.4,4.53,0.48,0.97,55.8,Moderate
Desert,141.0,139.9,65.9,8.48,0.28,1.93,37.1,Poor
Alluvial,113.1,71.6,153.9,7.69,0.43,1.29,86.2,Healthy
Red,62.3,121.0,121.2,5.58,2.44,0.98,78.4,Healthy
Mountain,135.7,118.2,7.8,4.87,2.36,1.12,50.9,Moderate
Desert,8.9,70.6,154.1,5.61,2.12,0.98,71.3,Moderate
Desert,3.9,27.2,118.7,7.91,1.15,3.01,63.8,Moderate
Red,6.7,103.3,207.3,5.24,1.07,1.36,42.2,Poor
Desert,49.7,38.6,93.7,7.5,2.75,1.91,85.5,Healthy
Mountain,119.1,43.9,164.0,6.79,1.11,3.24,83.3,Healthy
Black,83.7,101.9,137.1,5.93,2.75,1.31,75.2,Healthy
Mountain,149.3,104.4,145.0,8.94,1.92,0.01,51.5,Moderate
Mountain,82.2,112.2,209.9,8.06,2.99,2.86,47.4,Poor
Laterite,36.9,82.7,186.6,8.23,2.04,1.61,62.7,Moderate
Black,129.1,141.5,106.5,5.44,0.8,2.41,59.5,Moderate
Desert,46.9,74.7,113.8,6.37,2.63,1.19,76.3,Healthy
Laterite,100.4,21.6,198.1,7.24,0.65,2.34,69.4,Moderate
Red,8.2,106.8,154.8,6.33,0.53,1.31,57.7,Moderate
Mountain,117.1,14.5,53.0,5.05,2.27,2.97,73.1,Moderate
Red,89.1,18.7,112.2,6.02,2.62,3.0,79.0,Healthy
Mountain,75.8,43.0,39.6,4.26,1.48,0.89,85.8,Healthy
Desert,132.9,108.0,56.1,4.6,1.14,2.86,64.1,Moderate
Laterite,41.5,149.3,81.5,6.19,1.0,2.62,71.5,Moderate
Laterite,99.0,102.1,3.8,4.47,0.77,1.02,68.4,Moderate
Mountain,34.6,72.7,163.8,7.74,0.42,2.14,62.7,Moderate
Red,21.4,25.7,75.4,8.94,0.5,0.73,67.0,Moderate
Mountain,79.0,117.0,34.6,8.53,1.22,3.21,62.4,Moderate
Laterite,20.3,51.5,141.7,8.56,1.54,1.33,68.1,Moderate
Laterite,80.3,6.5,117.7,8.07,2.68,0.06,70.6,Moderate
Alluvial,34.2,119.8,159.6,5.91,2.65,0.63,63.0,Moderate
Mountain,18.0,59.8,192.1,7.38,0.42,2.14,60.4,Moderate
Desert,8.2,64.7,181.6,6.44,0.81,3.63,53.9,Moderate
Desert,40.2,18.3,163.4,5.58,2.26,3.46,61.7,Moderate
Desert,33.0,123.2,153.6,4.46,1.81,2.29,59.6,Moderate
Black,105.5,14.2,17.4,7.68,0.68,0.48,74.8,Moderate
Red,34.1,122.0,47.7,6.91,0.83,3.98,66.6,Moderate
Mountain,34.3,79.0,105.5,5.98,0.68,2.13,76.8,Healthy
Red,105.6,18.4,84.4,6.64,0.76,0.24,93.1,Healthy
Laterite,50.0,135.4,53.0,6.97,0.18,3.85,56.5,Moderate
Desert,14.5,144.7,207.1,5.03,1.98,3.04,32.4,Poor
Red,129.5,45.1,30.5,4.2,0.87,3.67,59.0,Moderate
Red,119.3,80.0,170.8,6.62,0.39,1.23,76.8,Healthy
Alluvial,114.0,96.6,31.3,5.2,2.44,3.55,71.1,Moderate
Red,38.7,92.7,174.9,3.99,0.99,2.63,57.9,Moderate
Laterite,120.3,1.9,27.3,8.13,1.87,0.63,71.4,Moderate
Laterite,111.6,32.2,162.1,7.08,0.4,2.99,76.8,Healthy
Mountain,122.2,14.3,45.4,4.7,1.84,1.13,78.6,Healthy
Alluvial,24.5,147.3,92.3,8.02,1.7,3.09,55.3,Moderate
Red,140.3,40.6,96.6,4.49,2.39,2.65,60.1,Moderate
Desert,27.5,118.9,53.4,5.33,1.31,2.02,68.6,Moderate
Desert,81.7,133.2,24.8,8.3,1.36,0.6,68.6,Moderate
Mountain,31.3,3.4,69.1,3.91,1.95,0.02,62.7,Moderate
Desert,110.2,56.1,11.9,4.84,0.3,2.93,60.9,Moderate
Alluvial,58.2,99.8,173.5,8.79,2.69,1.93,50.7,Moderate
Mountain,112.3,141.0,78.3,8.07,2.29,1.53,70.7,Moderate
Mountain,22.3,43.4,198.8,4.07,1.07,0.54,58.3,Moderate
Mountain,39.1,96.9,171.3,5.99,2.88,1.46,62.5,Moderate
Desert,52.3,47.5,29.1,8.37,2.72,0.62,70.7,Moderate
Laterite,89.6,24.3,205.3,4.47,1.57,0.04,71.6,Moderate
Desert,77.5,118.8,185.6,5.85,2.93,1.05,62.6,Moderate
Laterite,11.3,126.7,127.7,4.93,0.6,1.99,54.1,Moderate
Red,113.1,121.7,180.8,6.42,1.02,3.06,68.0,Moderate
Black,25.2,10.5,150.4,6.51,1.93,0.12,68.1,Moderate
Red,62.3,19.7,123.3,8.65,0.31,1.67,67.5,Moderate
Desert,117.9,22.6,111.9,6.51,2.8,3.63,80.6,Healthy
Mountain,89.7,106.0,114.1,5.06,0.56,2.25,70.0,Moderate
Alluvial,39.7,27.1,168.5,6.02,1.24,3.1,73.1,Moderate
Mountain,104.8,73.4,51.1,6.64,1.61,3.64,87.2,Healthy
Red,4.5,144.4,148.0,7.85,2.44,3.82,38.2,Poor
Alluvial,115.6,71.6,202.4,4.33,1.01,2.37,70.4,Moderate
Mountain,107.9,24.4,56.8,4.49,2.19,0.16,84.2,Healthy
Black,56.0,34.9,68.5,6.23,0.77,3.05,92.4,Healthy
Red,74.4,122.0,132.5,8.76,1.68,3.77,64.8,Moderate
Red,71.2,117.6,114.2,8.11,1.86,0.03,80.8,Healthy
Laterite,32.1,145.6,205.7,4.37,1.63,2.76,37.2,Poor
Mountain,22.8,15.4,13.9,6.68,0.83,3.88,58.2,Moderate
Alluvial,2.2,110.4,123.4,4.76,1.13,0.6,59.0,Moderate
Laterite,54.4,70.9,144.5,7.7,0.8,1.28,89.6,Healthy
Black,3.7,91.8,50.6,7.59,0.77,1.48,69.0,Moderate
Alluvial,20.9,63.6,62.8,4.4,0.71,0.39,75.2,Healthy
Laterite,12.2,0.4,69.4,5.78,0.87,0.64,62.4,Moderate
Mountain,112.3,110.3,179.5,8.24,0.71,1.61,64.2,Moderate
Laterite,77.9,110.5,34.5,6.3,2.7,2.81,73.3,Moderate
Red,112.4,88.2,166.7,7.48,2.86,1.1,71.7,Moderate
Red,145.5,89.5,1.2,5.13,2.99,3.92,31.5,Poor
Alluvial,13.6,32.0,80.2,4.8,1.23,2.13,69.9,Moderate
Red,54.1,135.4,51.3,6.32,1.32,2.87,73.2,Moderate
Red,99.2,52.6,130.1,4.43,2.15,3.87,71.0,Moderate
Mountain,97.9,62.1,198.3,8.97,2.35,1.22,63.0,Moderate
Red,118.6,97.4,98.4,4.98,0.96,2.07,72.2,Moderate
Laterite,22.9,111.2,97.7,5.77,0.58,0.98,71.6,Moderate
Mountain,4.0,141.5,76.4,8.46,1.5,3.88,41.2,Poor
Alluvial,83.5,67.9,47.9,4.75,0.75,0.06,87.0,Healthy
Mountain,115.7,119.1,209.4,8.18,0.3,1.13,53.5,Moderate
Desert,134.8,120.3,87.6,4.4,1.65,0.09,65.9,Moderate
Alluvial,134.0,12.6,194.8,4.85,1.66,1.29,61.5,Moderate
Alluvial,132.5,42.4,165.9,3.59,2.75,3.31,48.2,Poor
Alluvial,124.8,120.3,179.5,7.26,2.91,2.31,52.9,Moderate
Mountain,138.3,147.0,148.5,8.77,2.34,3.35,40.3,Poor
Laterite,110.2,5.8,209.3,8.41,1.5,1.85,55.5,Moderate
Mountain,28.7,90.5,27.6,7.04,0.97,1.43,74.4,Moderate
Desert,69.6,67.4,63.7,7.97,0.98,2.59,84.0,Healthy
Alluvial,130.2,89.0,28.9,8.83,1.72,0.3,66.2,Moderate
Black,119.6,103.2,187.4,7.74,2.91,1.31,60.0,Moderate
Red,26.0,101.2,129.6,5.47,1.01,0.32,74.1,Moderate
Red,48.4,128.2,106.0,7.15,1.64,2.55,76.2,Healthy
Mountain,130.1,147.6,64.6,7.54,2.25,2.66,63.9,Moderate
Laterite,53.8,86.6,185.6,8.99,1.4,0.48,59.4,Moderate
Desert,14.1,62.5,151.2,7.94,2.53,0.53,60.7,Moderate
Desert,25.5,37.9,107.8,4.73,1.66,0.41,80.8,Healthy
Red,54.5,116.7,162.8,8.26,0.62,0.87,72.0,Moderate
Red,106.2,103.9,115.3,8.03,1.87,3.84,78.3,Healthy
Desert,11.0,83.1,40.8,4.98,1.18,2.39,63.1,Moderate
Laterite,13.2,138.5,90.3,5.21,0.94,1.43,54.5,Moderate
Red,75.0,109.0,72.3,5.27,0.64,2.19,73.7,Moderate
Desert,94.0,22.2,69.9,4.49,0.35,2.05,74.1,Moderate
Black,30.4,24.8,128.7,7.93,0.2,3.44,57.6,Moderate
Black,27.0,28.5,39.4,8.56,1.2,2.3,75.0,Healthy
Red,11.6,79.1,127.4,4.63,2.35,2.52,57.6,Moderate
Mountain,68.5,108.4,171.6,5.59,0.63,0.64,75.6,Healthy
Desert,87.8,20.9,203.3,6.0,2.44,1.02,73.6,Moderate
Desert,107.0,65.7,76.9,8.84,2.07,2.51,76.7,Healthy
Black,109.0,0.7,24.0,7.46,1.39,3.2,60.1,Moderate
Laterite,15.4,11.9,72.5,6.19,0.78,0.63,73.0,Moderate
Red,34.7,110.1,107.9,7.93,0.27,0.33,65.9,Moderate
Red,44.8,39.2,96.4,8.69,0.78,0.77,82.5,Healthy
Black,64.8,115.5,73.3,3.84,0.46,1.86,54.2,Moderate
Desert,136.8,46.6,88.5,7.42,2.1,3.12,78.3,Healthy
Laterite,14.7,142.0,123.7,4.45,1.55,3.31,51.4,Moderate
Red,81.6,110.0,132.3,6.58,2.93,1.06,78.4,Healthy
Desert,99.8,112.7,71.1,7.48,1.3,0.8,89.5,Healthy
Alluvial,146.7,56.0,88.8,6.58,1.22,1.78,79.2,Healthy
Black,130.4,85.6,182.1,3.94,2.34,1.05,54.0,Moderate
Desert,121.7,83.1,161.7,4.05,2.29,3.95,57.2,Moderate
Laterite,29.7,130.0,59.0,4.45,2.68,3.87,47.2,Poor
Laterite,18.5,3.0,137.8,8.76,1.48,2.6,44.8,Poor
Red,104.3,93.4,50.5,8.2,0.76,3.08,76.4,Healthy
Laterite,120.7,93.2,100.8,7.84,1.8,2.01,88.2,Healthy
Alluvial,71.1,74.5,154.9,4.5,2.13,0.13,76.7,Healthy
Laterite,102.4,22.4,202.0,8.57,2.64,3.26,46.6,Poor
Desert,119.0,97.0,190.7,4.17,1.23,0.45,65.6,Moderate
Alluvial,115.8,135.2,95.3,7.96,2.11,1.12,79.9,Healthy
Laterite,138.3,75.7,168.2,4.68,0.24,3.77,41.5,Poor
Laterite,131.2,105.3,154.7,8.09,0.89,3.27,54.4,Moderate
Red,75.8,73.8,101.3,6.32,0.29,0.9,82.1,Healthy
Black,134.5,13.4,129.3,6.49,2.65,2.67,56.1,Moderate
Laterite,19.4,37.2,148.6,3.79,0.5,2.35,53.5,Moderate
Black,79.7,88.4,148.2,6.01,0.99,3.11,83.6,Healthy
Desert,24.5,125.7,0.4,4.38,1.87,2.76,37.7,Poor
Alluvial,80.0,47.7,153.3,7.18,2.12,1.96,83.8,Healthy
Desert,34.5,31.9,72.3,8.13,0.61,1.37,78.1,Healthy
Laterite,91.0,2.6,150.2,4.5,1.25,2.2,61.0,Moderate
Desert,63.4,64.2,199.1,8.72,1.37,1.45,64.5,Moderate
Laterite,49.1,46.8,134.1,4.6,2.3,0.12,82.7,Healthy
Laterite,45.7,112.0,23.1,8.77,1.98,1.03,62.2,Moderate
Alluvial,73.0,135.2,131.8,5.49,2.35,2.32,70.3,Moderate
Desert,101.0,60.7,117.1,3.73,0.98,3.07,73.0,Moderate
Mountain,15.8,47.7,138.2,8.41,2.88,2.56,50.2,Moderate
Black,63.2,129.3,55.5,3.85,1.67,1.56,67.5,Moderate
Desert,107.7,18.8,52.3,3.63,0.72,3.55,71.2,Moderate
Mountain,143.9,103.7,132.6,7.68,2.97,1.58,55.7,Moderate
Mountain,83.9,110.9,104.9,7.55,2.78,3.13,70.8,Moderate
Desert,94.7,107.2,171.0,3.79,1.76,0.35,64.3,Moderate
Mountain,117.8,143.6,83.0,6.94,1.74,0.68,81.6,Healthy
Black,5.1,120.4,151.4,6.28,0.84,3.85,51.7,Moderate
Desert,120.4,132.9,168.8,6.25,0.6,0.4,71.2,Moderate
Desert,132.8,139.7,80.2,5.44,1.53,3.7,62.6,Moderate
Alluvial,53.6,15.4,36.0,5.44,1.9,0.72,86.7,Healthy
Desert,31.0,119.6,49.8,7.82,2.16,1.14,72.3,Moderate
Red,54.4,86.6,190.4,6.5,1.31,1.56,77.9,Healthy
Mountain,35.8,147.9,195.4,8.74,1.27,2.98,33.5,Poor
Black,118.4,4.3,37.6,5.23,2.53,2.44,66.7,Moderate
Red,4.6,36.3,146.4,8.29,2.25,3.54,51.0,Moderate
Red,138.2,27.7,65.7,6.89,0.49,2.61,74.0,Moderate
Mountain,107.4,135.6,76.7,4.25,2.51,1.05,69.0,Moderate
Alluvial,14.4,95.7,67.8,5.1,2.08,2.13,59.7,Moderate
Alluvial,13.7,29.8,2.4,8.91,0.41,1.52,33.6,Poor
Black,75.1,94.9,110.1,7.23,0.72,3.66,80.3,Healthy
Desert,4.0,29.9,204.8,8.93,1.74,2.43,42.3,Poor
Laterite,53.2,7.0,139.5,5.74,2.99,2.06,60.6,Moderate
Laterite,25.9,47.9,78.9,7.59,1.93,0.96,85.4,Healthy
Alluvial,3.5,145.4,174.0,7.21,2.37,3.3,37.1,Poor
Black,13.3,61.6,204.8,6.78,2.84,0.04,51.6,Moderate
Laterite,15.9,57.6,180.1,5.54,1.6,3.8,54.6,Moderate
Red,84.3,5.3,5.5,6.59,0.25,0.5,56.2,Moderate
Desert,65.6,104.5,11.9,5.25,0.91,2.05,73.2,Moderate
Alluvial,1.1,112.4,159.6,4.91,2.55,2.36,40.8,Poor
Alluvial,53.1,149.6,77.6,8.01,1.3,2.2,73.3,Moderate
Red,66.3,126.3,29.6,4.63,2.97,1.06,62.9,Moderate
Red,24.6,141.7,38.7,6.43,2.23,0.1,69.6,Moderate
Laterite,115.4,23.3,181.5,7.4,1.48,2.78,76.6,Healthy
Desert,41.1,100.1,191.7,6.27,0.53,2.48,59.2,Moderate
Red,112.6,111.4,81.5,8.02,0.38,2.76,70.2,Moderate
Mountain,99.1,72.4,89.9,6.91,1.55,3.67,88.4,Healthy
Alluvial,129.6,67.7,172.0,6.4,2.34,2.32,71.1,Moderate
Alluvial,44.5,110.6,20.8,4.04,0.67,0.6,59.3,Moderate
Mountain,62.8,2.2,158.0,6.33,0.69,1.58,73.7,Moderate
Alluvial,79.4,27.5,51.0,4.86,0.88,3.47,81.1,Healthy
Laterite,27.8,28.1,172.1,6.8,2.54,3.34,61.5,Moderate
Black,19.5,120.1,107.1,6.67,2.47,1.21,63.3,Moderate
Red,6.4,120.0,140.6,4.69,0.91,3.67,44.4,Poor
Black,61.4,0.1,198.9,8.36,1.93,0.17,51.2,Moderate
Black,59.6,70.8,137.6,6.2,0.42,0.82,85.2,Healthy
Mountain,108.3,34.1,45.0,7.74,0.99,2.68,89.1,Healthy
Red,78.1,2.7,87.5,7.73,2.55,2.33,66.7,Moderate
Mountain,20.9,75.6,50.4,8.04,1.22,2.5,69.3,Moderate
Desert,57.0,43.7,146.2,6.88,2.6,1.26,88.2,Healthy
Laterite,146.7,17.6,80.2,5.26,1.19,2.18,68.8,Moderate
Desert,13.5,18.9,37.2,5.14,2.88,0.63,57.9,Moderate
Red,34.4,0.1,103.2,5.2,1.25,3.3,58.4,Moderate
Desert,13.3,130.4,89.4,7.7,2.51,1.26,56.1,Moderate
Alluvial,140.2,29.8,51.4,3.54,2.12,3.53,56.5,Moderate
Mountain,47.5,128.1,47.2,5.15,0.96,3.42,64.5,Moderate
Laterite,104.5,103.5,141.5,8.79,2.8,1.78,55.1,Moderate
Desert,118.8,76.6,162.9,8.63,2.4,3.96,58.3,Moderate
Black,136.9,12.7,16.9,8.09,1.37,1.44,57.5,Moderate
Desert,139.6,66.2,87.9,7.81,0.48,1.24,71.1,Moderate
Laterite,126.5,117.0,122.1,8.24,2.98,2.03,56.1,Moderate
Mountain,116.0,81.2,188.0,4.41,1.45,0.53,75.1,Healthy
Black,36.3,31.3,17.3,7.93,1.2,1.77,72.4,Moderate
Mountain,105.0,22.4,88.1,3.96,1.27,3.65,74.5,Moderate
Laterite,115.3,115.0,106.9,8.99,1.15,2.13,68.2,Moderate
Black,76.2,35.0,79.9,6.39,2.92,1.53,81.9,Healthy
Mountain,64.9,127.7,145.9,5.34,1.28,1.59,70.8,Moderate
Desert,107.2,78.2,146.8,5.07,2.83,1.61,67.9,Moderate
Alluvial,133.0,76.5,0.6,7.74,2.86,0.9,55.0,Moderate
Red,64.2,58.8,60.9,4.24,2.07,1.37,86.2,Healthy
Black,98.3,109.0,58.2,6.39,2.45,3.1,79.3,Healthy
Black,128.3,11.7,65.9,4.94,1.44,0.77,74.3,Moderate
Desert,101.7,105.4,22.7,4.1,0.24,1.59,55.7,Moderate
Laterite,119.3,148.7,7.5,7.38,0.68,0.93,62.0,Moderate
Black,48.7,45.1,70.4,5.4,2.72,2.99,73.6,Moderate
Desert,62.4,27.0,43.4,6.0,0.23,0.04,89.5,Healthy
Laterite,55.1,143.0,201.6,3.54,1.87,1.05,48.9,Poor
Laterite,41.3,70.8,33.8,7.13,1.07,3.79,77.3,Healthy
Red,95.6,120.1,127.2,5.0,1.62,1.44,77.2,Healthy
Black,127.0,28.6,128.1,7.36,1.14,0.5,90.4,Healthy
Black,7.9,93.5,123.9,6.98,2.82,3.88,53.3,Moderate
Desert,109.9,71.3,109.0,5.41,0.81,2.59,84.5,Healthy
Red,42.7,137.9,148.2,7.54,2.81,2.06,54.7,Moderate
Black,37.1,31.8,156.1,4.28,1.22,3.04,64.5,Moderate
Mountain,140.0,110.7,30.2,5.08,0.61,1.28,56.4,Moderate
Desert,109.5,65.8,56.0,6.73,1.09,0.66,100.0,Healthy
Mountain,89.9,13.0,109.6,5.96,0.32,3.01,75.4,Healthy
Desert,111.3,1.3,185.5,5.61,0.77,0.85,68.7,Moderate
Black,108.2,106.7,139.7,7.15,0.82,3.59,72.2,Moderate
Alluvial,32.6,75.4,84.0,7.47,2.36,1.7,81.9,Healthy
Mountain,91.6,72.6,14.2,5.82,1.89,2.03,80.1,Healthy
Red,113.2,126.0,17.3,7.91,1.22,0.21,73.5,Moderate
Alluvial,120.8,55.5,192.1,7.92,0.48,2.13,79.3,Healthy
Desert,109.7,12.3,19.4,4.55,2.04,1.06,66.5,Moderate
Black,121.5,0.8,147.8,4.62,1.29,2.49,61.7,Moderate
Black,7.5,125.4,64.9,8.93,1.61,1.99,45.6,Poor
Laterite,31.1,30.0,87.1,8.55,1.02,2.18,71.2,Moderate
Red,38.6,126.9,75.9,7.07,2.59,2.15,64.1,Moderate
Mountain,7.3,6.3,58.1,5.42,2.04,2.31,55.8,Moderate
Red,19.8,139.0,66.9,7.19,1.5,3.38,57.0,Moderate
Laterite,92.3,41.9,160.4,8.2,2.47,2.5,72.9,Moderate
Alluvial,38.1,70.0,49.9,7.96,2.62,1.38,78.9,Healthy
Red,115.4,38.2,18.5,4.77,2.97,1.72,65.4,Moderate
Red,118.5,80.1,198.1,7.65,1.6,2.62,66.4,Moderate
Black,120.6,105.2,202.0,6.37,2.45,2.39,61.2,Moderate
Laterite,130.0,28.7,18.4,7.96,0.74,1.09,78.9,Healthy
Black,92.1,20.3,16.2,4.13,1.98,3.07,65.4,Moderate
Alluvial,91.6,106.0,53.9,5.35,1.55,1.38,84.2,Healthy
Black,48.0,43.0,27.1,6.28,2.05,0.95,88.0,Healthy
Black,65.5,28.8,42.9,7.55,2.7,1.9,85.2,Healthy
Black,118.8,37.1,123.4,6.63,2.92,3.35,77.1,Healthy
Black,3.8,74.2,94.8,6.99,2.74,2.27,64.0,Moderate
Black,86.1,27.8,57.8,5.85,1.39,2.25,94.4,Healthy
Black,31.4,120.6,95.0,4.77,2.27,2.28,56.6,Moderate
Black,54.6,8.5,62.2,4.02,1.22,3.01,70.9,Moderate
Laterite,110.2,114.4,179.7,4.09,0.67,3.63,58.3,Moderate
Red,56.2,83.6,4.8,8.7,2.67,0.16,54.8,Moderate
Alluvial,36.9,106.1,66.3,6.91,1.98,3.29,71.2,Moderate
Black,83.9,74.8,37.5,7.87,1.3,1.96,89.2,Healthy
Laterite,38.1,26.2,34.7,7.72,0.83,2.19,83.2,Healthy
Alluvial,12.6,123.6,147.1,5.2,1.65,1.4,59.5,Moderate
Mountain,84.9,149.0,172.6,3.54,2.51,1.46,39.1,Poor
Desert,69.0,125.8,207.6,4.41,2.19,1.55,48.5,Poor
Mountain,2.7,0.4,200.2,7.82,1.38,0.8,37.8,Poor
Mountain,138.1,52.9,103.1,4.64,1.45,0.02,72.4,Moderate
Desert,17.8,108.4,8.7,3.79,2.63,2.61,31.0,Poor
Alluvial,82.1,146.5,110.7,5.69,2.43,2.96,71.6,Moderate
Laterite,128.0,91.8,32.5,5.09,2.62,1.42,64.1,Moderate
Desert,88.5,18.8,55.0,5.69,0.65,3.61,82.3,Healthy
Black,30.5,67.8,98.1,6.18,1.81,0.96,89.0,Healthy
Black,128.7,49.0,30.1,4.98,2.19,2.66,71.5,Moderate
Black,78.5,118.6,52.2,5.01,1.4,0.79,80.5,Healthy
Red,15.6,51.2,109.8,7.21,0.13,3.05,59.6,Moderate
Mountain,133.9,124.7,124.3,6.58,2.87,2.7,58.7,Moderate
Black,60.5,6.6,170.6,7.96,2.24,2.13,65.4,Moderate
Red,114.0,13.8,171.3,4.11,0.54,2.31,60.1,Moderate
Red,37.4,46.7,174.7,8.9,1.71,3.61,51.2,Moderate
Mountain,130.0,43.5,70.9,5.63,0.32,1.19,78.1,Healthy
Black,1.1,45.0,135.5,6.32,1.68,3.07,69.1,Moderate
Red,5.6,36.0,16.2,8.62,0.99,3.39,48.9,Poor
Alluvial,42.0,102.5,124.4,5.43,0.81,2.12,74.8,Moderate
Laterite,9.3,97.9,187.3,8.37,1.83,3.95,41.2,Poor
Laterite,66.4,147.3,50.8,8.04,2.83,0.44,60.4,Moderate
Desert,140.5,108.9,134.3,4.3,2.96,0.74,43.8,Poor
Alluvial,128.7,21.1,18.6,4.5,1.43,1.91,65.7,Moderate
Mountain,9.9,46.5,35.2,7.87,0.31,2.06,64.6,Moderate
Mountain,48.0,45.4,171.9,7.0,2.73,0.0,75.4,Healthy
Desert,42.9,134.2,184.9,4.82,0.97,1.81,57.1,Moderate
Alluvial,96.9,83.9,149.4,7.93,1.09,1.45,76.9,Healthy
Mountain,135.5,104.9,165.3,3.97,0.5,0.28,49.1,Poor
Laterite,128.5,95.8,146.1,8.07,2.8,1.61,57.5,Moderate
Desert,54.6,108.2,173.7,7.05,0.34,1.26,67.0,Moderate
Desert,41.4,122.5,135.5,7.1,2.36,1.32,70.0,Moderate
Alluvial,73.6,36.6,19.1,5.2,0.12,3.8,63.1,Moderate
Black,20.5,67.7,84.2,8.04,0.8,2.13,65.7,Moderate
Black,9.1,40.3,144.6,6.49,1.88,2.01,73.8,Moderate
Desert,7.2,4.0,189.0,3.52,0.76,2.71,33.9,Poor
Desert,35.8,53.8,114.9,4.79,1.23,0.18,82.7,Healthy
Black,101.0,82.3,101.4,8.01,2.03,3.17,78.9,Healthy
Red,131.8,92.6,162.3,3.85,2.84,2.91,42.0,Poor
Laterite,49.8,107.2,109.3,3.74,2.17,2.21,58.1,Moderate
Red,3.6,131.1,106.2,4.0,0.91,3.65,41.3,Poor
Red,148.1,33.9,12.3,5.46,1.78,0.24,62.1,Moderate
Mountain,142.2,6.1,1.2,6.35,2.33,0.5,49.1,Poor
Laterite,144.4,44.2,5.5,4.19,0.44,0.99,51.9,Moderate
Black,96.4,115.7,40.7,5.14,0.28,1.99,68.6,Moderate
Black,37.1,50.9,27.2,7.04,1.66,1.74,75.1,Healthy
Alluvial,55.0,137.1,75.0,7.97,2.43,1.55,68.4,Moderate
Black,74.1,93.4,49.9,6.53,2.37,0.17,90.8,Healthy
Alluvial,61.9,146.5,118.4,7.29,0.93,3.19,73.3,Moderate
Desert,145.4,31.5,36.1,3.63,2.52,3.51,44.9,Poor
Mountain,122.9,64.7,17.3,6.43,1.37,2.64,76.2,Healthy
Black,110.2,15.8,190.7,5.86,2.39,1.01,70.0,Moderate
Black,50.9,102.8,9.4,8.62,2.28,1.32,59.3,Moderate
Mountain,41.8,37.6,125.6,8.26,2.24,2.42,68.6,Moderate
Laterite,90.6,129.1,207.2,4.42,0.3,3.53,37.8,Poor
Mountain,74.7,119.9,171.3,6.5,2.98,3.77,54.0,Moderate
Desert,99.6,78.8,90.9,4.83,0.29,0.01,77.0,Healthy
Red,58.3,133.5,74.2,7.02,0.23,2.76,70.9,Moderate
Black,96.6,52.9,74.8,4.85,2.58,1.3,85.4,Healthy
Black,101.7,99.5,61.6,8.34,0.22,3.91,58.1,Moderate
Red,101.5,135.4,117.4,8.2,1.91,1.08,76.8,Healthy
Desert,88.8,73.5,97.6,3.86,1.87,3.66,70.7,Moderate
Laterite,52.5,65.2,43.2,5.12,1.24,3.0,83.1,Healthy
Laterite,8.2,125.8,60.0,6.07,1.79,0.05,69.7,Moderate
Mountain,103.4,10.5,1.8,6.91,0.61,3.0,62.4,Moderate
Mountain,39.7,64.7,89.5,4.84,2.57,0.01,73.0,Moderate
Mountain,120.3,119.2,173.4,4.41,2.62,1.57,53.0,Moderate
Laterite,15.4,39.5,62.9,4.96,2.73,3.65,53.3,Moderate
Mountain,27.9,126.8,56.0,5.54,1.56,0.8,72.1,Moderate
Mountain,131.8,145.1,134.3,6.56,2.79,0.95,64.1,Moderate
Desert,20.2,74.3,48.5,6.91,2.58,1.83,67.7,Moderate
Red,126.3,7.2,82.2,5.54,1.93,3.27,70.0,Moderate
Desert,145.8,101.0,188.7,8.71,0.3,0.79,32.2,Poor
