N,P,K,temperature,humidity,ph,rainfall,season,soil_type,label
27.96,56.52,34.09,29.95,83.22,6.88,48.61,Rabi,Alluvial,mungbean
15.48,20.15,29.4,26.12,95.01,5.53,144.34,Kharif,Laterite,coconut
150.0,41.51,8.06,27.63,81.68,7.21,67.3,Kharif,Black,cotton
16.86,127.71,210.0,19.91,88.46,5.9,70.53,Rabi,Black,grapes
18.37,136.84,169.47,16.11,89.98,5.88,136.0,Rabi,Mountain,apple
22.23,60.78,24.05,17.59,57.26,7.74,63.29,Rabi,Alluvial,lentil
97.47,84.6,41.52,29.9,79.11,6.06,97.6,Zaid,Alluvial,banana
68.21,38.51,38.23,23.39,87.01,7.42,124.45,Kharif,Alluvial,jute
33.95,132.19,183.82,22.71,93.42,5.53,77.63,Rabi,Mountain,apple
17.63,18.99,41.41,18.17,89.73,6.24,131.69,Zaid,Black,pomegranate
20.35,141.6,189.06,20.38,96.89,5.83,110.09,Rabi,Mountain,apple
20.79,31.57,7.32,27.54,93.09,6.83,49.98,Zaid,Alluvial,mungbean
119.14,11.91,48.18,28.29,89.12,5.7,23.32,Zaid,Alluvial,muskmelon
108.86,24.83,29.88,21.49,59.06,6.99,146.62,Kharif,Red,coffee
90.8,14.2,10.61,20.69,54.16,7.03,101.44,Kharif,Red,coffee
34.82,52.21,27.56,31.59,40.21,6.3,160.08,Kharif,Black,pigeonpeas
47.36,57.97,45.5,23.89,82.65,7.06,170.98,Kharif,Alluvial,jute
15.82,53.17,16.76,14.72,22.09,5.71,78.02,Rabi,Mountain,kidneybeans
79.21,86.07,48.72,26.8,78.68,5.88,115.62,Zaid,Alluvial,banana
72.02,53.19,15.0,26.01,72.82,5.95,83.96,Kharif,Mountain,maize
80.04,51.88,39.0,24.69,75.43,6.45,180.56,Kharif,Red,jute
83.68,46.0,13.22,29.17,79.44,5.96,91.89,Kharif,Black,maize
16.44,49.29,22.83,19.68,38.17,4.76,147.42,Kharif,Black,pigeonpeas
20.47,18.65,16.69,28.72,34.68,5.26,101.19,Zaid,Laterite,mango
17.64,79.41,23.44,13.44,29.73,5.72,119.42,Rabi,Mountain,kidneybeans
11.71,23.66,44.12,17.65,81.34,6.61,120.58,Zaid,Black,pomegranate
98.03,9.78,42.08,22.52,85.23,6.53,68.53,Zaid,Alluvial,watermelon
38.16,54.92,17.01,28.9,64.08,7.04,64.2,Rabi,Alluvial,blackgram
83.9,58.5,15.72,28.27,66.58,7.34,67.77,Kharif,Black,maize
71.33,35.89,31.29,20.16,88.75,6.04,212.08,Kharif,Alluvial,rice
25.73,50.63,14.23,28.98,53.51,6.23,68.15,Kharif,Desert,mothbeans
16.1,67.78,25.17,18.42,13.12,5.38,103.15,Rabi,Mountain,kidneybeans
13.77,36.11,36.58,30.16,46.82,5.63,77.05,Zaid,Laterite,mango
142.88,52.42,9.24,22.18,69.21,7.22,91.27,Kharif,Black,cotton
48.06,50.63,60.24,35.28,95.49,5.96,119.85,Zaid,Laterite,papaya
22.3,38.52,13.56,29.8,51.4,6.92,64.67,Kharif,Desert,mothbeans
119.67,50.56,14.94,22.04,79.3,6.96,100.77,Kharif,Black,cotton
16.33,38.84,11.27,28.91,82.26,7.45,60.52,Zaid,Alluvial,mungbean
20.86,22.73,13.48,24.39,86.65,7.27,94.14,Rabi,Black,orange
82.36,44.47,37.12,26.89,86.63,6.35,179.67,Kharif,Alluvial,jute
39.44,68.35,17.04,24.96,62.75,7.3,79.5,Kharif,Alluvial,blackgram
20.5,62.84,20.98,30.58,88.71,6.55,91.62,Zaid,Alluvial,mungbean
95.12,31.95,18.25,24.81,65.49,7.81,142.89,Kharif,Red,coffee
97.04,88.85,73.0,24.52,81.96,6.01,125.94,Zaid,Alluvial,banana
29.77,48.56,18.62,19.26,41.88,4.6,163.51,Kharif,Black,pigeonpeas
55.59,54.81,58.71,34.92,91.82,6.65,183.47,Zaid,Laterite,papaya
29.97,113.61,191.17,24.72,93.94,5.46,125.65,Rabi,Red,apple
24.57,21.39,33.09,19.26,93.35,6.27,85.19,Zaid,Black,pomegranate
83.32,37.02,23.16,20.71,67.83,6.36,60.59,Kharif,Black,maize
14.97,24.85,32.85,35.28,52.97,5.78,94.05,Zaid,Laterite,mango
22.24,16.54,30.5,28.05,90.36,6.06,164.01,Kharif,Laterite,coconut
17.38,128.98,180.23,24.02,93.59,5.78,65.31,Rabi,Alluvial,apple
22.98,57.7,16.1,18.99,64.67,7.2,20.82,Rabi,Mountain,lentil
75.59,51.07,48.96,24.33,71.33,6.56,205.36,Kharif,Alluvial,jute
27.7,52.4,9.5,28.7,60.64,6.06,74.87,Kharif,Desert,mothbeans
21.26,64.47,17.43,18.64,58.69,6.97,42.01,Rabi,Alluvial,lentil
31.94,18.11,28.29,25.2,89.67,5.5,153.01,Kharif,Laterite,coconut
46.09,74.29,10.41,29.93,74.12,6.85,79.24,Kharif,Alluvial,blackgram
96.18,33.48,44.26,27.02,82.22,7.12,171.81,Rabi,Alluvial,jute
13.29,55.82,16.45,25.07,95.5,6.63,67.41,Zaid,Alluvial,mungbean
102.21,51.3,17.38,21.96,73.19,7.17,101.39,Kharif,Black,cotton
118.39,10.89,31.5,23.2,83.36,6.3,53.23,Zaid,Alluvial,watermelon
26.16,139.35,199.13,22.52,93.33,6.05,81.89,Rabi,Mountain,apple
22.51,126.14,210.0,25.23,77.5,5.93,66.58,Rabi,Black,grapes
19.78,10.19,27.57,25.06,92.3,5.98,187.79,Kharif,Laterite,coconut
30.8,121.29,210.0,29.43,86.07,6.04,65.02,Rabi,Black,grapes
103.45,12.59,43.23,30.23,83.93,6.1,45.69,Zaid,Alluvial,watermelon
91.57,27.3,29.67,25.51,82.45,6.44,293.21,Kharif,Alluvial,rice
28.75,28.74,35.24,32.57,42.5,6.64,64.99,Zaid,Laterite,mango
25.34,35.22,30.12,31.98,52.31,6.32,102.62,Zaid,Laterite,mango
111.1,13.55,30.28,23.85,61.94,7.76,100.24,Kharif,Red,coffee
9.96,26.13,36.2,18.9,92.65,5.69,122.71,Zaid,Black,pomegranate
102.98,76.04,39.78,24.11,83.59,6.12,122.8,Zaid,Alluvial,banana
23.97,105.98,195.26,24.03,74.18,5.57,76.76,Kharif,Black,grapes
60.48,39.93,40.6,23.0,87.0,7.26,161.66,Kharif,Alluvial,jute
17.18,11.33,8.67,20.65,94.66,6.25,97.05,Rabi,Black,orange
143.85,57.92,20.02,25.88,83.33,6.72,58.69,Zaid,Black,cotton
22.4,22.11,26.9,27.37,50.31,5.17,102.2,Zaid,Laterite,mango
60.15,67.62,46.15,32.74,90.33,6.68,148.38,Rabi,Laterite,papaya
95.33,21.74,51.27,24.94,93.19,5.93,18.06,Zaid,Alluvial,muskmelon
27.33,40.1,19.99,28.1,68.97,6.76,73.83,Kharif,Desert,mothbeans
66.27,28.39,34.32,28.72,84.79,6.37,160.29,Kharif,Mountain,jute
33.98,44.5,81.38,18.52,19.36,7.41,59.96,Rabi,Black,chickpea
19.06,36.42,21.19,29.2,57.47,5.49,31.48,Kharif,Desert,mothbeans
20.48,12.25,31.29,22.68,92.25,6.33,125.6,Zaid,Black,pomegranate
97.12,13.69,68.41,22.71,90.02,6.34,36.96,Zaid,Alluvial,watermelon
10.25,47.8,18.0,28.55,43.6,7.17,22.41,Kharif,Desert,mothbeans
104.95,62.55,17.48,16.67,86.05,6.78,43.01,Kharif,Desert,cotton
50.72,80.52,52.12,39.43,94.63,6.2,177.19,Zaid,Laterite,papaya
94.09,21.8,56.49,22.54,89.44,6.38,50.23,Zaid,Alluvial,watermelon
17.19,47.59,23.34,26.23,38.23,6.59,65.44,Kharif,Desert,mothbeans
55.67,47.31,31.91,28.17,82.26,6.64,272.65,Kharif,Alluvial,rice
23.83,22.58,31.96,25.33,99.36,5.74,195.11,Kharif,Laterite,coconut
24.43,47.65,23.79,28.82,60.41,7.25,46.68,Kharif,Mountain,mothbeans
14.84,48.62,20.64,24.76,51.6,7.0,55.41,Kharif,Desert,mothbeans
89.08,54.15,12.52,27.34,60.71,6.7,94.18,Kharif,Black,maize
71.46,39.37,65.39,29.19,80.05,6.77,251.01,Rabi,Alluvial,rice
83.79,48.82,30.45,19.38,62.58,5.86,104.56,Kharif,Black,maize
22.19,22.97,25.18,26.83,93.65,6.19,164.83,Kharif,Laterite,coconut
21.7,17.99,12.53,15.6,98.3,6.77,91.33,Rabi,Black,orange
11.98,23.86,31.29,26.31,92.65,6.42,144.22,Zaid,Black,pomegranate
28.39,83.85,23.38,15.36,30.94,5.49,96.62,Rabi,Mountain,kidneybeans
104.1,13.07,46.99,30.56,93.01,5.92,34.65,Zaid,Alluvial,watermelon
33.79,45.94,29.79,28.41,92.04,7.5,56.94,Zaid,Alluvial,mungbean
41.01,73.69,25.75,25.66,56.8,7.34,81.53,Kharif,Alluvial,blackgram
108.64,38.83,27.41,28.57,81.79,6.29,266.31,Zaid,Alluvial,rice
103.47,47.17,44.42,25.75,76.3,5.53,305.47,Kharif,Mountain,rice
129.66,55.8,13.3,20.46,76.57,6.74,73.29,Kharif,Red,cotton
123.4,39.15,12.97,24.11,85.81,7.54,95.91,Kharif,Mountain,cotton
25.33,63.72,17.97,25.6,43.4,5.62,139.29,Kharif,Black,pigeonpeas
12.13,14.74,17.46,20.19,91.59,7.47,132.34,Rabi,Black,orange
43.53,68.35,17.18,27.11,68.36,7.14,74.69,Kharif,Alluvial,blackgram
21.73,60.3,9.55,17.78,73.87,7.24,49.92,Rabi,Alluvial,lentil
100.18,68.55,32.95,30.16,70.79,6.1,122.73,Rabi,Alluvial,banana
19.71,15.06,23.99,26.32,53.52,6.12,85.92,Zaid,Laterite,mango
87.11,61.11,9.98,20.99,67.25,5.84,101.04,Kharif,Black,maize
31.89,118.88,206.56,22.28,94.24,4.77,104.17,Rabi,Mountain,apple
21.49,14.56,20.05,24.44,88.85,5.83,121.53,Rabi,Black,pomegranate
20.79,28.2,39.62,25.96,51.0,5.1,110.15,Zaid,Laterite,mango
115.86,42.1,29.03,26.01,82.17,7.39,86.61,Zaid,Black,cotton
21.45,57.35,21.68,28.77,75.13,6.97,60.83,Zaid,Alluvial,mungbean
21.47,77.54,14.18,26.68,55.11,5.98,162.77,Kharif,Black,pigeonpeas
47.1,61.95,48.75,19.6,18.18,7.5,99.72,Rabi,Black,chickpea
24.61,130.05,207.37,22.62,92.9,5.78,120.07,Rabi,Mountain,apple
91.18,36.75,22.9,26.93,44.41,6.68,198.23,Kharif,Red,coffee
26.7,69.43,10.8,26.21,50.41,5.89,94.69,Rabi,Black,pigeonpeas
96.59,61.86,24.4,24.99,86.42,7.86,192.59,Kharif,Alluvial,jute
76.8,62.77,38.88,26.17,77.08,6.77,169.83,Kharif,Alluvial,jute
91.49,49.68,37.85,24.5,81.27,6.44,179.42,Kharif,Alluvial,jute
46.71,64.86,62.16,28.46,91.71,6.84,140.59,Zaid,Laterite,papaya
25.34,57.62,25.13,14.07,60.42,7.24,44.3,Rabi,Alluvial,lentil
16.11,125.17,210.0,24.98,74.97,5.92,43.26,Rabi,Red,grapes
66.66,36.84,39.23,26.02,83.38,6.61,230.52,Kharif,Alluvial,rice
17.06,13.12,7.27,24.34,94.99,7.36,115.4,Rabi,Red,orange
15.59,46.29,16.31,30.82,84.35,6.78,51.59,Zaid,Alluvial,mungbean
24.6,19.5,23.38,34.95,52.15,5.89,127.01,Zaid,Laterite,mango
14.86,72.06,15.63,24.5,26.95,5.79,130.67,Rabi,Mountain,kidneybeans
19.85,147.28,201.76,23.5,77.45,4.78,78.1,Rabi,Black,grapes
30.36,51.35,18.17,25.77,83.35,6.83,73.72,Zaid,Alluvial,mungbean
10.33,16.33,13.81,17.44,96.96,7.21,137.19,Rabi,Black,orange
27.65,62.94,16.3,29.3,46.8,6.36,161.09,Kharif,Black,pigeonpeas
84.93,83.52,46.34,27.53,80.11,5.61,117.54,Rabi,Alluvial,banana
83.86,67.78,12.16,27.61,87.29,5.52,211.22,Kharif,Alluvial,rice
16.33,54.65,16.76,28.26,49.11,5.79,153.78,Kharif,Black,pigeonpeas
22.94,30.14,36.04,18.36,91.2,6.72,102.71,Zaid,Alluvial,pomegranate
102.27,30.38,34.85,27.84,62.77,6.41,176.87,Kharif,Red,coffee
121.49,15.03,46.6,24.06,94.86,6.38,28.5,Zaid,Alluvial,muskmelon
44.23,79.42,15.91,26.81,72.02,7.16,94.44,Kharif,Alluvial,blackgram
54.3,51.83,59.56,32.5,91.43,6.67,175.47,Zaid,Laterite,papaya
35.16,31.68,51.46,32.63,95.32,6.73,123.38,Zaid,Laterite,papaya
13.38,16.77,48.33,22.91,88.67,6.05,139.31,Zaid,Black,pomegranate
22.68,51.97,9.16,18.59,15.71,5.32,121.82,Rabi,Mountain,kidneybeans
29.23,71.49,70.43,19.11,17.95,8.53,89.85,Rabi,Black,chickpea
16.96,57.3,22.61,29.67,85.96,6.8,36.27,Rabi,Alluvial,mungbean
27.54,41.29,20.26,30.87,82.58,6.68,59.75,Zaid,Desert,mungbean
18.59,28.58,24.98,32.07,65.59,5.12,109.48,Zaid,Laterite,mango
25.02,69.02,15.42,22.74,36.54,5.52,119.82,Kharif,Black,pigeonpeas
84.88,19.76,34.77,25.56,94.16,6.38,12.11,Zaid,Alluvial,muskmelon
16.38,30.31,29.67,28.26,52.96,6.44,133.97,Zaid,Laterite,mango
28.59,43.21,17.25,27.37,51.71,7.13,39.94,Kharif,Red,mothbeans
22.92,84.1,18.99,26.27,39.18,5.06,147.35,Kharif,Black,pigeonpeas
88.31,21.18,37.53,27.03,87.31,5.94,17.6,Zaid,Mountain,muskmelon
80.11,47.32,41.76,21.54,74.5,6.28,195.76,Kharif,Alluvial,rice
17.83,15.85,40.17,18.24,96.74,6.92,106.94,Zaid,Black,pomegranate
107.66,17.51,56.22,26.18,87.37,6.74,28.76,Zaid,Alluvial,muskmelon
22.1,54.31,13.62,24.22,40.36,5.82,160.84,Kharif,Black,pigeonpeas
18.98,149.64,197.51,20.26,91.24,5.94,108.41,Rabi,Mountain,apple
19.29,36.23,21.14,25.14,85.17,6.47,74.18,Kharif,Alluvial,mungbean
74.65,47.38,34.32,24.34,77.86,6.66,232.55,Kharif,Black,rice
10.99,77.59,18.96,20.32,23.21,5.41,110.72,Rabi,Alluvial,kidneybeans
15.99,131.92,183.88,20.94,93.28,5.45,116.82,Rabi,Mountain,apple
76.96,45.61,46.47,25.38,72.51,6.84,205.39,Kharif,Red,rice
21.61,49.28,32.24,34.49,51.49,4.69,83.66,Zaid,Alluvial,mango
43.57,56.3,66.85,38.04,86.09,6.67,105.69,Zaid,Laterite,papaya
14.82,44.73,24.99,28.67,49.71,7.32,39.67,Kharif,Desert,mothbeans
129.46,46.14,31.73,27.86,85.49,6.35,82.9,Kharif,Black,cotton
22.99,16.8,51.04,19.09,93.11,7.1,102.46,Rabi,Black,pomegranate
26.55,71.6,19.56,30.14,63.37,5.87,170.75,Kharif,Black,pigeonpeas
68.54,56.53,58.47,37.99,87.57,7.03,164.33,Zaid,Laterite,papaya
9.07,54.67,22.09,25.08,63.08,6.68,42.18,Rabi,Desert,lentil
96.37,62.56,34.39,25.98,69.75,5.87,93.98,Kharif,Alluvial,maize
34.61,71.24,79.76,17.13,10.0,7.35,65.61,Zaid,Black,chickpea
88.3,25.18,53.46,27.86,90.68,6.51,37.64,Zaid,Alluvial,muskmelon
112.25,36.4,13.69,23.94,83.74,6.77,67.67,Kharif,Laterite,cotton
19.99,58.61,22.45,22.95,30.37,5.57,128.96,Rabi,Mountain,kidneybeans
33.5,76.71,83.66,19.17,28.73,7.15,68.65,Rabi,Black,chickpea
26.28,44.86,26.71,32.64,80.36,6.35,63.46,Zaid,Alluvial,mungbean
111.16,31.9,37.17,30.73,53.32,7.49,206.94,Kharif,Red,coffee
105.62,30.21,31.35,23.36,64.35,6.1,107.9,Kharif,Red,coffee
21.63,17.74,14.38,23.86,92.28,7.17,120.43,Rabi,Black,orange
108.95,9.93,48.84,24.77,87.2,6.93,53.39,Zaid,Alluvial,watermelon
16.17,22.68,16.97,25.88,86.72,7.72,97.27,Rabi,Black,orange
24.77,106.99,210.0,23.0,83.27,6.42,31.57,Rabi,Black,grapes
97.69,26.86,32.07,26.81,46.96,6.61,163.25,Kharif,Red,coffee
19.53,67.79,21.0,33.09,48.61,6.91,160.58,Kharif,Black,pigeonpeas
21.67,31.45,46.43,32.82,53.78,5.97,73.54,Zaid,Red,mango
21.89,142.3,210.0,25.51,95.96,5.94,78.23,Rabi,Mountain,apple
16.92,22.86,26.36,31.47,43.22,5.47,131.17,Zaid,Laterite,mango
18.59,18.07,20.59,23.47,87.4,6.2,88.6,Zaid,Black,pomegranate
97.27,29.85,38.4,31.6,43.37,6.43,152.23,Kharif,Alluvial,coffee
22.6,65.76,22.75,25.01,46.54,5.31,148.95,Kharif,Black,pigeonpeas
99.07,21.94,21.21,28.13,65.1,6.71,185.81,Kharif,Red,coffee
12.65,145.91,210.0,22.45,79.18,6.39,98.91,Rabi,Red,grapes
94.11,30.77,14.71,21.96,72.37,6.22,101.37,Kharif,Black,cotton
17.8,11.28,45.1,12.58,91.53,7.13,92.55,Zaid,Black,pomegranate
38.68,46.68,64.73,34.54,91.4,6.67,169.05,Zaid,Laterite,papaya
21.74,150.0,210.0,18.7,92.79,5.58,120.87,Rabi,Mountain,apple
40.62,52.14,24.21,29.49,62.9,6.93,35.42,Kharif,Alluvial,blackgram
30.03,71.58,17.71,26.06,42.59,5.22,177.72,Kharif,Black,pigeonpeas
100.23,26.37,73.56,25.75,81.68,6.68,46.81,Zaid,Alluvial,watermelon
52.13,54.38,34.24,31.82,89.64,6.85,131.47,Zaid,Laterite,papaya
30.96,58.76,26.15,28.56,47.24,6.54,65.51,Kharif,Alluvial,blackgram
16.14,120.61,206.84,22.36,79.74,5.98,64.97,Rabi,Black,grapes
22.96,79.68,14.35,16.44,61.78,7.01,44.31,Rabi,Alluvial,lentil
87.38,52.42,54.77,27.1,81.34,6.16,218.71,Kharif,Alluvial,rice
92.06,45.67,14.71,24.58,61.81,6.81,169.55,Kharif,Red,coffee
40.13,65.46,50.72,30.94,94.35,6.59,180.11,Zaid,Laterite,papaya
38.96,62.26,77.8,20.95,17.58,7.45,103.92,Rabi,Black,chickpea
87.6,27.31,28.35,26.76,58.93,6.37,183.82,Kharif,Laterite,coffee
82.52,63.53,43.99,26.31,85.02,6.53,143.19,Kharif,Alluvial,jute
39.09,54.27,15.99,27.33,45.98,5.6,54.69,Kharif,Desert,mothbeans
13.45,12.51,54.71,21.37,89.38,6.15,118.58,Zaid,Black,pomegranate
48.63,60.18,64.9,29.51,94.74,6.85,136.67,Zaid,Laterite,papaya
15.67,73.16,6.79,17.81,50.66,4.63,110.54,Kharif,Black,pigeonpeas
20.07,133.35,206.12,23.21,97.76,5.6,111.94,Rabi,Laterite,apple
29.32,63.39,19.61,14.97,18.42,6.31,121.62,Rabi,Mountain,kidneybeans
19.72,26.02,10.79,28.42,96.2,6.74,84.72,Rabi,Black,orange
22.38,47.52,21.4,37.68,59.95,6.28,24.79,Kharif,Desert,mothbeans
76.44,63.72,39.81,22.2,75.53,6.15,150.2,Kharif,Alluvial,rice
20.06,65.53,22.68,28.06,82.38,6.92,69.9,Zaid,Desert,mungbean
112.61,17.04,57.39,26.39,87.38,6.38,59.82,Zaid,Black,watermelon
28.71,20.64,50.27,21.56,94.32,5.94,97.73,Zaid,Black,pomegranate
21.43,20.19,7.96,27.5,92.75,5.81,152.32,Kharif,Laterite,coconut
18.93,20.63,36.65,26.62,93.16,6.5,198.32,Kharif,Laterite,coconut
93.5,57.95,49.06,27.21,79.22,6.41,179.78,Kharif,Alluvial,jute
13.03,30.18,50.05,16.07,86.82,6.84,119.15,Zaid,Alluvial,pomegranate
17.67,69.04,12.79,16.81,22.59,5.57,102.67,Rabi,Red,kidneybeans
29.11,60.93,29.98,28.92,57.7,7.51,56.71,Kharif,Desert,mothbeans
72.83,40.03,42.28,27.28,81.26,6.57,187.87,Kharif,Alluvial,jute
20.46,66.62,9.61,22.48,21.21,5.88,128.79,Rabi,Mountain,kidneybeans
81.74,53.18,41.34,26.34,80.93,6.76,226.78,Kharif,Alluvial,rice
7.75,79.8,25.31,19.29,63.18,7.06,72.47,Kharif,Alluvial,lentil
45.22,77.47,51.47,37.08,88.26,6.21,139.22,Zaid,Laterite,papaya
22.07,8.13,31.96,17.67,90.81,6.68,115.61,Zaid,Black,pomegranate
22.33,14.79,14.8,20.07,89.93,7.75,100.0,Rabi,Black,orange
35.44,40.11,76.47,19.43,18.46,7.39,53.81,Rabi,Black,chickpea
84.41,48.13,46.71,25.43,80.86,6.07,181.57,Kharif,Alluvial,jute
8.57,20.9,46.05,22.57,93.98,6.86,146.94,Zaid,Black,pomegranate
114.93,61.83,21.25,22.47,74.12,7.07,77.42,Kharif,Black,cotton
21.13,26.95,32.25,28.47,56.19,6.77,38.97,Kharif,Desert,mothbeans
25.77,48.12,17.76,26.11,86.37,6.36,79.27,Zaid,Alluvial,mungbean
16.17,136.82,188.14,19.43,70.24,6.74,65.55,Rabi,Black,grapes
25.1,37.34,29.59,29.97,85.78,6.53,54.51,Kharif,Alluvial,mungbean
14.55,66.84,30.39,18.66,73.68,6.92,39.2,Rabi,Alluvial,lentil
117.96,36.93,21.62,26.0,79.04,7.12,74.15,Kharif,Black,cotton
14.92,74.01,10.84,19.85,26.22,5.91,122.82,Rabi,Mountain,kidneybeans
18.93,33.02,25.08,28.52,51.81,6.26,71.61,Zaid,Laterite,mango
80.25,17.81,49.47,24.51,91.94,6.24,20.2,Kharif,Alluvial,muskmelon
30.0,59.94,26.05,18.35,20.49,5.83,104.06,Rabi,Mountain,kidneybeans
30.18,19.47,8.0,20.3,90.26,6.75,114.31,Rabi,Black,orange
21.17,46.22,18.08,33.57,50.89,5.37,149.06,Rabi,Black,pigeonpeas
77.76,59.99,4.5,17.99,67.79,5.59,55.64,Kharif,Black,maize
79.45,44.94,42.88,27.79,83.09,6.9,125.85,Kharif,Alluvial,jute
114.23,12.9,35.62,30.86,48.04,6.76,182.01,Zaid,Red,coffee
109.06,44.0,28.07,20.65,76.52,6.37,77.07,Rabi,Black,cotton
66.6,27.05,22.03,21.96,74.87,6.62,50.2,Kharif,Black,maize
17.39,81.92,25.92,16.19,69.66,7.14,51.35,Rabi,Alluvial,lentil
19.04,64.87,22.98,16.39,23.56,6.47,125.39,Rabi,Mountain,kidneybeans
11.91,21.76,37.64,19.91,90.74,6.39,136.6,Zaid,Black,pomegranate
47.47,47.2,48.67,30.09,91.15,6.35,132.25,Zaid,Laterite,papaya
86.07,36.78,42.44,25.73,79.47,5.96,239.28,Kharif,Desert,rice
18.62,71.69,19.18,28.57,43.31,6.3,73.31,Kharif,Black,pigeonpeas
116.88,26.8,43.63,28.06,94.26,6.71,28.54,Zaid,Alluvial,muskmelon
28.21,45.67,18.28,29.45,82.2,6.82,60.95,Zaid,Alluvial,mungbean
21.17,62.03,16.15,14.95,25.71,5.44,55.13,Zaid,Mountain,kidneybeans
89.94,54.19,16.18,25.67,62.46,5.96,96.74,Zaid,Black,maize
94.08,49.51,44.11,26.1,74.15,6.65,113.53,Kharif,Alluvial,jute
16.4,58.24,11.71,18.75,16.0,5.39,122.53,Rabi,Mountain,kidneybeans
40.05,83.23,77.54,17.59,16.14,7.35,61.74,Rabi,Black,chickpea
117.91,54.78,16.63,26.1,79.11,6.96,68.48,Kharif,Black,cotton
10.62,44.86,21.89,27.17,51.87,6.3,61.82,Kharif,Desert,mothbeans
20.69,130.61,199.3,19.6,87.54,5.06,109.38,Rabi,Mountain,apple
60.89,78.31,52.38,32.62,90.69,6.63,138.82,Zaid,Laterite,papaya
35.19,24.18,46.15,20.44,93.36,5.99,100.14,Zaid,Black,pomegranate
150.0,40.79,19.57,18.91,79.73,7.57,94.1,Rabi,Black,cotton
13.81,28.1,36.94,33.99,50.73,5.36,100.51,Zaid,Laterite,mango
35.28,144.65,185.9,21.18,80.9,6.09,90.21,Rabi,Black,grapes
15.08,25.85,31.35,30.39,61.3,5.24,85.7,Zaid,Laterite,mango
104.01,13.95,29.02,22.88,54.16,6.9,158.63,Kharif,Red,coffee
99.12,35.61,31.82,26.38,59.66,6.4,173.76,Kharif,Red,coffee
119.08,53.51,20.77,22.98,80.91,7.44,79.11,Kharif,Black,cotton
26.64,44.1,12.38,26.68,37.78,6.18,52.14,Kharif,Red,mothbeans
19.17,19.07,38.57,24.09,92.78,5.93,155.86,Kharif,Laterite,coconut
17.58,9.53,35.83,26.77,96.17,5.82,188.73,Kharif,Alluvial,coconut
25.06,11.06,32.41,21.84,93.7,6.28,185.06,Kharif,Laterite,coconut
20.34,123.69,210.0,14.89,90.41,6.23,106.12,Rabi,Mountain,apple
15.38,19.99,5.37,19.67,93.68,7.8,88.06,Rabi,Black,orange
31.63,26.45,24.56,29.56,60.14,5.64,94.42,Zaid,Laterite,mango
26.93,28.55,30.02,31.53,41.43,5.44,95.07,Zaid,Laterite,mango
21.91,25.24,7.85,23.42,93.48,6.73,114.45,Rabi,Black,orange
93.34,63.23,38.65,26.88,84.66,6.67,101.32,Zaid,Alluvial,banana
20.43,138.83,206.83,22.51,83.17,5.62,117.93,Rabi,Mountain,apple
28.22,116.82,197.29,24.7,77.28,6.63,60.37,Rabi,Black,grapes
48.57,71.73,14.78,28.29,68.73,7.31,50.57,Kharif,Alluvial,blackgram
32.47,77.07,12.47,18.55,25.69,5.7,176.71,Rabi,Mountain,kidneybeans
12.23,119.26,193.46,23.97,75.39,6.22,79.43,Rabi,Black,grapes
117.62,51.01,22.69,25.09,78.82,7.01,69.29,Kharif,Black,cotton
21.58,61.38,20.64,15.24,65.23,7.38,41.41,Kharif,Alluvial,lentil
76.32,77.81,57.83,28.13,85.27,5.84,65.87,Zaid,Alluvial,banana
17.04,55.98,12.94,27.69,60.92,6.19,56.3,Kharif,Laterite,mothbeans
26.0,137.4,185.85,20.26,93.49,6.18,114.67,Rabi,Mountain,apple
62.21,37.28,28.09,24.74,77.61,6.65,148.16,Zaid,Alluvial,jute
14.26,74.3,19.38,19.28,61.01,6.73,35.49,Rabi,Alluvial,lentil
99.81,21.46,36.11,30.29,58.95,6.4,170.41,Kharif,Red,coffee
21.74,11.18,6.2,15.66,93.41,6.64,95.68,Rabi,Black,orange
20.21,68.99,34.04,24.22,49.15,6.72,74.12,Zaid,Black,lentil
39.82,80.57,12.93,30.35,55.54,7.26,85.16,Kharif,Alluvial,blackgram
91.74,97.24,47.54,27.63,83.21,6.32,104.22,Kharif,Alluvial,banana
22.23,64.38,22.24,15.87,23.17,4.65,106.07,Rabi,Mountain,kidneybeans
9.26,26.67,40.06,23.76,90.4,6.4,83.44,Zaid,Black,pomegranate
67.9,63.94,39.17,23.46,72.19,6.76,164.7,Kharif,Black,jute
47.36,65.1,62.32,32.17,92.8,6.6,154.66,Zaid,Red,papaya
22.54,41.48,27.2,16.79,70.49,7.2,34.48,Rabi,Alluvial,lentil
12.68,20.81,21.98,27.48,94.12,5.66,209.49,Kharif,Mountain,coconut
8.7,71.25,27.18,13.88,17.45,5.58,85.41,Rabi,Mountain,kidneybeans
10.48,56.05,26.45,15.25,24.68,6.36,100.55,Rabi,Mountain,kidneybeans
23.44,48.16,26.37,31.64,59.39,6.37,37.76,Kharif,Desert,mothbeans
51.11,57.2,66.99,31.76,89.58,6.86,152.49,Zaid,Laterite,papaya
39.66,67.7,90.18,12.26,12.97,7.41,99.0,Rabi,Red,chickpea
98.61,14.26,58.62,25.53,93.66,5.82,55.08,Zaid,Mountain,watermelon
18.03,37.3,20.32,31.74,53.29,6.09,87.73,Zaid,Laterite,mango
11.89,25.28,24.95,34.12,44.34,6.33,98.26,Zaid,Alluvial,mango
